,北京市,河北省,山西省,内蒙古,辽宁省,吉林省,黑龙江,江苏省,浙江省,安徽省,江西省,山东省,河南省,湖北省,湖南省,广西,重庆市,四川省,贵州省,云南省,西藏,陕西省,新疆
2024,11944.130797272584,94290.50708653379,35936.37280529799,25744.86633106188,32309.09934854151,25625.273396310924,21442.109160794826,37623.87663446903,34925.87236553707,31658.01071896356,40322.78193090062,87815.70044181035,85027.33500879441,38797.993626585936,53605.1965800747,34570.615945371974,23834.60228693773,69884.12587053938,30164.78233318355,29114.156801430392,7158.348037219476,34293.82565924791,15331.095275877575
2025,12469.592805060603,96904.37929927999,37587.25182129328,26602.042365418114,33107.403965280624,26061.184947503545,21990.818570714026,38600.036742289114,36107.048407958486,32752.813992775373,41313.98299204337,90815.77997918938,89007.2015122167,40095.32527475053,56153.293956509624,35855.931823841456,24312.513623270483,72862.20508560083,31599.988038213807,29905.207291349292,7131.556978076342,35556.843023280584,15728.296788979413
2026,12392.890555449767,99289.51447316757,37854.15596918241,26994.07485609134,33840.420293157484,26913.374672923615,22193.195866100905,39150.09512707256,36493.69553369566,33124.80789861998,42410.81458951151,92461.41101063418,89601.0129377869,40482.93513468165,56294.53140553268,36320.7202920613,24968.041274179945,73495.07861388027,31590.131713405168,30446.62410388088,7528.903972874334,36017.49588576933,16083.344686292716
2027,12933.911674481551,101908.9235235902,39537.50359527886,27862.653372837794,34640.28465456358,27338.966366159777,22749.637139659488,40136.021224991935,37693.34298646884,34237.63695610607,43399.32970541997,95493.72552435852,93666.40302246998,41802.65055603977,58901.58787511504,37626.863634677895,25442.027256403493,76531.65953835208,33058.681076772285,31243.191141894924,7491.113956381019,37300.686027824595,16481.59359274414
2028,12841.650313626951,104288.52185980133,39771.93913306681,28243.28338112081,35371.74123777345,28201.475949536296,22944.28257140699,40676.31361967608,38061.518701854235,34591.60507827641,44498.8472481224,97107.121579458,94174.69086677942,42167.876642777366,58983.86623099067,38070.82463875062,26101.48026142216,77106.03135722115,33015.48109362679,31779.091406331376,7899.459908529189,37741.166112290746,16835.594096707857
