Region,RMSE,MAE,R2,mae_to_adjust
北京市,398.6147691903767,390.93526550883445,0.7486368609550254,390.93526550883445
河北省,937.1431014691368,932.1510192064646,0.7588781529429365,932.1510192064646
山西省,2621.2025997145356,2363.231464085317,-3.5591677740854353,2363.231464085317
内蒙古,463.5607355330604,440.1775094567286,-1.3737203948820933,440.1775094567286
辽宁省,1521.616665029391,1477.9142033424287,0.0,1477.9142033424287
吉林省,691.9266551795279,629.6078786515731,0.0,629.6078786515731
黑龙江,201.40459070638704,193.76615688961343,0.6607474189121605,193.76615688961343
江苏省,369.4145304352959,262.9576498305323,-1.008122484411138,262.9576498305323
浙江省,761.2459322168237,663.9088532744523,0.0,663.9088532744523
安徽省,75.03884943211332,55.70196133467956,0.9899774777978817,55.70196133467956
江西省,963.9422905585507,739.3546999984052,0.739629074130422,739.3546999984052
山东省,2003.2042679834135,1925.764198674665,-2.882358524195526,1925.764198674665
河南省,847.1047152225822,690.7512112068458,0.8989985082046659,690.7512112068458
湖北省,112.84663711184606,101.00812584193773,0.9832009543362255,101.00812584193773
湖南省,2394.132693408504,2272.01206247445,0.0,2272.01206247445
广西,861.158817154785,819.0474543978635,-6.093068600920388,819.0474543978635
重庆市,290.18359285691315,206.20758648393894,0.8778440157436334,206.20758648393894
四川省,6279.372184938196,5929.4475821232145,-4.368795524297851,5929.4475821232145
贵州省,566.3381017052072,565.4669277328285,0.36364819362003165,565.4669277328285
云南省,179.05932337116312,154.83744455279884,0.9473354230072577,154.83744455279884
西藏,150.10277666877897,135.15161421242706,0.0,135.15161421242706
陕西省,1232.0722376214478,1158.0164872468329,0.0,1158.0164872468329
新疆,1539.5429763663094,1452.3390084061473,-2.5890752218988036,1452.3390084061473
