Region,RMSE,MAE,R2
福建省,4348.0003080301885,4141.684493856437,-30.682915017249304
广东省,671.4065629966245,525.7159512396814,0.9523863840899985
甘肃省,8257.061759200868,8062.585385963248,-234.77941236265028
青海省,172.16445900895422,142.86729366968356,0.360530219601943
